model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Action,035,0.7,35,8,4,4
deepgazeiie,Action,037,0.5,15,16,4,12
deepgazeiie,Action,037,0.5,25,16,4,12
deepgazeiie,Action,037,0.5,35,16,4,12
deepgazeiie,Action,037,0.6,15,12,4,8
deepgazeiie,Action,037,0.6,25,12,4,8
deepgazeiie,Action,037,0.6,35,12,4,8
deepgazeiie,Action,037,0.7,15,8,4,4
deepgazeiie,Action,037,0.7,25,8,4,4
deepgazeiie,Action,037,0.7,35,8,4,4
deepgazeiie,Action,039,0.5,15,4,6,2
deepgazeiie,Action,039,0.5,25,4,6,2
deepgazeiie,Action,039,0.5,35,4,6,2
deepgazeiie,Action,039,0.6,15,4,6,2
deepgazeiie,Action,039,0.6,25,4,6,2
deepgazeiie,Action,039,0.6,35,4,6,2
deepgazeiie,Action,039,0.7,15,4,6,2
deepgazeiie,Action,039,0.7,25,4,6,2
deepgazeiie,Action,039,0.7,35,4,6,2
deepgazeiie,Action,041,0.5,15,4,1,3
deepgazeiie,Action,041,0.5,25,4,1,3
deepgazeiie,Action,041,0.5,35,4,1,3
deepgazeiie,Action,041,0.6,15,4,1,3
deepgazeiie,Action,041,0.6,25,4,1,3
deepgazeiie,Action,041,0.6,35,4,1,3
deepgazeiie,Action,041,0.7,15,4,1,3
deepgazeiie,Action,041,0.7,25,4,1,3
deepgazeiie,Action,041,0.7,35,4,1,3
deepgazeiie,Action,043,0.5,15,12,4,8
deepgazeiie,Action,043,0.5,25,12,4,8
deepgazeiie,Action,043,0.5,35,12,4,8
deepgazeiie,Action,043,0.6,15,8,4,4
deepgazeiie,Action,043,0.6,25,8,4,4
deepgazeiie,Action,043,0.6,35,8,4,4
deepgazeiie,Action,043,0.7,15,8,4,4
deepgazeiie,Action,043,0.7,25,8,4,4
deepgazeiie,Action,043,0.7,35,8,4,4
deepgazeiie,Action,045,0.5,15,4,1,3
deepgazeiie,Action,045,0.5,25,4,1,3
deepgazeiie,Action,045,0.5,35,4,1,3
deepgazeiie,Action,045,0.6,15,4,1,3
deepgazeiie,Action,045,0.6,25,4,1,3
deepgazeiie,Action,045,0.6,35,4,1,3
deepgazeiie,Action,045,0.7,15,4,1,3
deepgazeiie,Action,045,0.7,25,4,1,3
deepgazeiie,Action,045,0.7,35,4,1,3
deepgazeiie,Action,047,0.5,15,4,1,3
deepgazeiie,Action,047,0.5,25,4,1,3
deepgazeiie,Action,047,0.5,35,4,1,3
deepgazeiie,Action,047,0.6,15,4,1,3
deepgazeiie,Action,047,0.6,25,4,1,3
deepgazeiie,Action,047,0.6,35,4,1,3
deepgazeiie,Action,047,0.7,15,4,1,3
deepgazeiie,Action,047,0.7,25,4,1,3
deepgazeiie,Action,047,0.7,35,4,1,3
deepgazeiie,Action,049,0.5,15,4,2,2
deepgazeiie,Action,049,0.5,25,4,2,2
deepgazeiie,Action,049,0.5,35,4,2,2
