model_name,category,benchmark_metric,structural_metric,spearman_rho,p_value,n_pairs
center_bias_baseline,LineDrawing,model_cc,delta_num_peaks,0.10574665832317377,0.4648510637014791,50
center_bias_baseline,LineDrawing,model_cc,delta_center_distance,-0.4523889555822329,0.0009724249945433952,50
center_bias_baseline,LineDrawing,model_auc,delta_entropy,0.2904681872749099,0.040724640959352576,50
center_bias_baseline,LineDrawing,model_auc,delta_num_peaks,0.03844885481862138,0.7909355309027024,50
center_bias_baseline,LineDrawing,model_auc,delta_center_distance,-0.4749579831932773,0.0004917615861986873,50
center_bias_baseline,LowResolution,model_nss,delta_entropy,0.4780426902383958,0.00044635864195829246,50
center_bias_baseline,LowResolution,model_nss,delta_num_peaks,-0.16923870702676164,0.2400231863964931,50
center_bias_baseline,LowResolution,model_nss,delta_center_distance,0.9488115246098439,1.1363943419573405e-25,50
center_bias_baseline,LowResolution,model_cc,delta_entropy,0.12984705518881187,0.36878711471572767,50
center_bias_baseline,LowResolution,model_cc,delta_num_peaks,0.2547344404959772,0.0742182499481562,50
center_bias_baseline,LowResolution,model_cc,delta_center_distance,0.33138055222088836,0.01873321025732692,50
center_bias_baseline,LowResolution,model_auc,delta_entropy,0.34742730927923593,0.013432625085316237,50
center_bias_baseline,LowResolution,model_auc,delta_num_peaks,-0.01158769052714881,0.9363426041866779,50
center_bias_baseline,LowResolution,model_auc,delta_center_distance,0.9267226890756303,4.848647571406973e-22,50
center_bias_baseline,Noisy,model_nss,delta_entropy,0.36577108704629435,0.008996711485380074,50
center_bias_baseline,Noisy,model_nss,delta_num_peaks,0.04047327933823352,0.7801948725852194,50
center_bias_baseline,Noisy,model_nss,delta_center_distance,0.3035294117647059,0.032126801536382005,50
center_bias_baseline,Noisy,model_cc,delta_entropy,0.07832120821484917,0.5887566602219587,50
center_bias_baseline,Noisy,model_cc,delta_num_peaks,0.2655086041202867,0.062385529549511064,50
center_bias_baseline,Noisy,model_cc,delta_center_distance,-0.03308523409363745,0.8195738612852519,50
center_bias_baseline,Noisy,model_auc,delta_entropy,0.2614708637215535,0.0666291114343563,50
center_bias_baseline,Noisy,model_auc,delta_num_peaks,0.1251169164157892,0.38663143157810587,50
center_bias_baseline,Noisy,model_auc,delta_center_distance,0.2715486194477791,0.05644450784995338,50
center_bias_baseline,Object,model_nss,delta_entropy,0.18550265317839507,0.19713650020382562,50
center_bias_baseline,Object,model_nss,delta_num_peaks,-0.13203045006240816,0.3607205604481971,50
center_bias_baseline,Object,model_nss,delta_center_distance,0.34895558223289314,0.013002536053394772,50
center_bias_baseline,Object,model_cc,delta_entropy,-0.05512737402246894,0.7037677292696631,50
center_bias_baseline,Object,model_cc,delta_num_peaks,0.17440820010080135,0.2257535727046112,50
center_bias_baseline,Object,model_cc,delta_center_distance,-0.0398079231692677,0.7837205710688705,50
center_bias_baseline,Object,model_auc,delta_entropy,0.15280078757795834,0.2894299172371875,50
center_bias_baseline,Object,model_auc,delta_num_peaks,-0.13605488170220978,0.3461359034860604,50
center_bias_baseline,Object,model_auc,delta_center_distance,0.2993037214885954,0.03472605236252889,50
center_bias_baseline,OutdoorManMade,model_nss,delta_entropy,0.28308002601259097,0.04637085654947413,50
center_bias_baseline,OutdoorManMade,model_nss,delta_num_peaks,-0.35618861641973293,0.011123338493468906,50
center_bias_baseline,OutdoorManMade,model_nss,delta_center_distance,-0.4836974789915966,0.000372843277198923,50
center_bias_baseline,OutdoorManMade,model_cc,delta_entropy,0.0021128958684569978,0.9883811773419315,50
center_bias_baseline,OutdoorManMade,model_cc,delta_num_peaks,-0.14664309568518527,0.3095326151654462,50
center_bias_baseline,OutdoorManMade,model_cc,delta_center_distance,-0.48600240096038416,0.00034616222922012244,50
center_bias_baseline,OutdoorManMade,model_auc,delta_entropy,0.22531153215455077,0.11567228549120885,50
center_bias_baseline,OutdoorManMade,model_auc,delta_num_peaks,-0.299973814372537,0.034302638907320014,50
center_bias_baseline,OutdoorManMade,model_auc,delta_center_distance,-0.5165426170468187,0.00012295113239136891,50
center_bias_baseline,OutdoorNatural,model_nss,delta_entropy,0.4722689075630252,0.0005346979465312272,50
center_bias_baseline,OutdoorNatural,model_nss,delta_num_peaks,-0.12173145760915303,0.39971054039865195,50
center_bias_baseline,OutdoorNatural,model_nss,delta_center_distance,-0.2844177671068427,0.0453037212343839,50
center_bias_baseline,OutdoorNatural,model_cc,delta_entropy,0.38429771908763505,0.005863026440431758,50
center_bias_baseline,OutdoorNatural,model_cc,delta_num_peaks,-0.044261557986688044,0.7602062048655812,50
center_bias_baseline,OutdoorNatural,model_cc,delta_center_distance,-0.3350300120048019,0.017393426862415,50
center_bias_baseline,OutdoorNatural,model_auc,delta_entropy,0.38852340936374546,0.005299365605147114,50
center_bias_baseline,OutdoorNatural,model_auc,delta_num_peaks,-0.15659534706841446,0.2774760577576688,50
center_bias_baseline,OutdoorNatural,model_auc,delta_center_distance,-0.2925810324129652,0.03921799725496591,50
center_bias_baseline,Pattern,model_nss,delta_entropy,0.17393809923389883,0.22702642007611568,50
center_bias_baseline,Pattern,model_nss,delta_num_peaks,-0.2996675473855283,0.03449562764414944,50
center_bias_baseline,Pattern,model_nss,delta_center_distance,0.7144777911164465,5.6443400409725114e-09,50
center_bias_baseline,Pattern,model_cc,delta_entropy,-0.559031864489734,2.4462181075325714e-05,50
center_bias_baseline,Pattern,model_cc,delta_num_peaks,0.3036663657558478,0.03204533872789983,50
center_bias_baseline,Pattern,model_cc,delta_center_distance,-0.12422569027611044,0.3900497503252508,50
center_bias_baseline,Pattern,model_auc,delta_entropy,0.11626287637914665,0.42137306074626335,50
center_bias_baseline,Pattern,model_auc,delta_num_peaks,-0.23895378066543346,0.09467633237127918,50
center_bias_baseline,Pattern,model_auc,delta_center_distance,0.6941176470588235,2.27338054579725e-08,50
center_bias_baseline,Random,model_nss,delta_entropy,0.20192076830732295,0.15966040442903717,50
center_bias_baseline,Random,model_nss,delta_num_peaks,-0.30741515451976786,0.029881170969769482,50
center_bias_baseline,Random,model_nss,delta_center_distance,0.04336134453781513,0.7649426494889897,50
center_bias_baseline,Random,model_cc,delta_entropy,-0.24763505402160862,0.08294029728514515,50
center_bias_baseline,Random,model_cc,delta_num_peaks,0.013120785918485192,0.9279414016865706,50
center_bias_baseline,Random,model_cc,delta_center_distance,-0.2270828331332533,0.11276170705793447,50
center_bias_baseline,Random,model_auc,delta_entropy,0.17262905162064823,0.23059688426227992,50
center_bias_baseline,Random,model_auc,delta_num_peaks,-0.2117792038250314,0.13982747039032833,50
center_bias_baseline,Random,model_auc,delta_center_distance,0.018487394957983194,0.8986000622543064,50
center_bias_baseline,Satelite,model_nss,delta_entropy,0.58031212484994,9.993734836250957e-06,50
center_bias_baseline,Satelite,model_nss,delta_num_peaks,0.17236024544638742,0.23133481703786932,50
center_bias_baseline,Satelite,model_nss,delta_center_distance,-0.7915966386554621,7.70897984924316e-12,50
center_bias_baseline,Satelite,model_cc,delta_entropy,0.1745498199279712,0.22537109097343716,50
center_bias_baseline,Satelite,model_cc,delta_num_peaks,0.14237597384941933,0.3239746544258575,50
center_bias_baseline,Satelite,model_cc,delta_center_distance,-0.5655222088835534,1.873979120229063e-05,50
center_bias_baseline,Satelite,model_auc,delta_entropy,0.46189675870348135,0.0007338056139319418,50
center_bias_baseline,Satelite,model_auc,delta_num_peaks,0.0667248675504899,0.6452318899199698,50
center_bias_baseline,Satelite,model_auc,delta_center_distance,-0.8698679471788715,2.4296179706277407e-16,50
center_bias_baseline,Sketch,model_nss,delta_entropy,0.30375795632548436,0.03199095464687803,50
center_bias_baseline,Sketch,model_nss,delta_num_peaks,-0.1895883108659165,0.18727589219019689,50
center_bias_baseline,Sketch,model_nss,delta_center_distance,0.9848259303721489,3.6075868681710917e-38,50
center_bias_baseline,Sketch,model_cc,delta_entropy,-0.08447592809115052,0.5597109735668941,50
center_bias_baseline,Sketch,model_cc,delta_num_peaks,0.28387111842728674,0.04573734327882254,50
center_bias_baseline,Sketch,model_cc,delta_center_distance,0.41771908763505405,0.002541739335413777,50
center_bias_baseline,Sketch,model_auc,delta_entropy,0.27095689953966534,0.05700558036297477,50
center_bias_baseline,Sketch,model_auc,delta_num_peaks,-0.11473672242489062,0.42753542528304234,50
center_bias_baseline,Sketch,model_auc,delta_center_distance,0.9806962785114045,1.1122252782878298e-35,50
center_bias_baseline,Social,model_nss,delta_entropy,0.22909963985594234,0.10951614352954006,50
center_bias_baseline,Social,model_nss,delta_num_peaks,-0.22163864113076726,0.12188933761888351,50
center_bias_baseline,Social,model_nss,delta_center_distance,-0.7979351740696278,3.968407520008375e-12,50
center_bias_baseline,Social,model_cc,delta_entropy,-0.0617046818727491,0.6703349815701657,50
center_bias_baseline,Social,model_cc,delta_num_peaks,-0.05738987835462314,0.6922007567981207,50
