category,image,model_name,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,human_entropy,human_center_distance,human_num_peaks,delta_entropy,delta_center_distance,delta_num_peaks
Art,23,deepgazeiie,12.18644905090332,236.78004646582264,4,2.387512683868408,0.6202096035810368,0.8884817957878113,6.07301664352417,243.2947272448336,3,6.11343240737915,6.514680779010973,1
Art,25,deepgazeiie,13.380789756774902,298.6662663469488,12,1.4667999744415283,0.5851362445765703,0.8206628561019897,6.155765533447266,335.4634714417942,5,7.225024223327637,36.79720509484537,7
Art,27,deepgazeiie,12.281195640563965,174.3953330612431,8,2.2028584480285645,0.6575872122957331,0.8973496556282043,6.242153167724609,222.21696658940868,2,6.0390424728393555,47.82163352816559,6
Art,29,deepgazeiie,13.209505081176758,274.006363390542,4,2.341531753540039,0.7447356505754001,0.8660076856613159,6.19335412979126,261.0942873239026,4,7.016150951385498,12.912076066639372,0
Art,31,deepgazeiie,13.220247268676758,241.1751634393994,4,2.2531003952026367,0.6694144075506308,0.8746286630630493,5.911532402038574,231.38458647593328,1,7.308714866638184,9.790576963466123,3
Art,33,deepgazeiie,12.530058860778809,165.50641991538828,8,3.251025915145874,0.7078169972920164,0.9148892164230348,6.048905849456787,184.5058480836033,2,6.4811530113220215,18.99942816821502,6
Art,35,deepgazeiie,13.368451118469238,291.9300169424182,24,0.924162745475769,0.3365358765582891,0.775698721408844,5.823410511016846,354.61950554997713,1,7.545040607452393,62.68948860755893,23
Art,37,deepgazeiie,13.082839012145996,247.07592478996287,8,1.649306297302246,0.6546492314676073,0.8690741062164307,6.105234146118164,279.64343306672737,6,6.977604866027832,32.5675082767645,2
Art,39,deepgazeiie,13.228109359741213,247.698058919577,28,1.98958957195282,0.6532507309342954,0.90813410282135,6.166656494140625,209.13126478626887,3,7.061452865600588,38.56679413330812,25
Art,41,deepgazeiie,13.393783569335938,271.71515281021044,4,2.1318044662475586,0.6841617778433855,0.873581051826477,6.096554279327393,254.37376140207232,1,7.297229290008545,17.341391408138122,3
Art,43,deepgazeiie,13.505833625793455,281.33360037887275,32,1.4965747594833374,0.5693816525617158,0.8299704194068909,6.087781429290772,305.67850329487163,2,7.418052196502683,24.344902915998887,30
Art,45,deepgazeiie,13.425298690795898,281.5054225607931,8,1.2988216876983645,0.5487186563851879,0.8237099647521973,5.998807907104492,315.1509368881804,1,7.426490783691406,33.64551432738733,7
Art,47,deepgazeiie,13.506027221679688,286.0341517963374,4,1.125495433807373,0.4427716813461728,0.7875694632530212,6.139205932617188,319.2166484082231,2,7.366821289062499,33.182496611885654,2
Art,49,deepgazeiie,12.946282386779783,221.50111101546648,8,2.359713077545166,0.729926587878543,0.8706659078598022,6.039702415466309,249.39078559174683,1,6.906579971313475,27.889674576280356,7
Art,51,deepgazeiie,12.077905654907228,151.90340575960138,4,2.5704169273376465,0.7557340819638887,0.9303178191184998,6.305224418640137,209.82515151987155,14,5.772681236267092,57.92174576027017,10
Art,53,deepgazeiie,12.849437713623049,283.1475074831578,4,2.223714828491211,0.6598384695754699,0.8930891156196594,6.182764053344727,312.3723366922535,2,6.666673660278322,29.224829209095674,2
Art,55,deepgazeiie,13.016860008239746,279.06130810323685,4,2.16760802268982,0.7517163978916197,0.8474387526512146,6.226984024047852,327.11976754758626,3,6.7898759841918945,48.05845944434941,1
Art,57,deepgazeiie,13.227394104003906,269.1352720536252,4,1.069390058517456,0.4869470280239066,0.8101123571395874,6.319209098815918,346.6788344234073,12,6.908185005187988,77.54356236978208,8
Art,59,deepgazeiie,13.356375694274902,320.639071280757,4,1.2063136100769043,0.4990562640380536,0.782977283000946,6.283839702606201,366.879282423513,4,7.072535991668701,46.24021114275604,0
Art,61,deepgazeiie,13.34615993499756,306.58040234887903,8,1.371857762336731,0.5123522811905721,0.8594642877578735,6.158495903015137,299.26134676941524,3,7.187664031982424,7.319055579463793,5
Art,63,deepgazeiie,13.47142219543457,296.1966896390677,4,3.79386305809021,0.8113752221497528,0.8955402374267578,6.039701461791992,248.6727465808718,1,7.431720733642578,47.5239430581959,3
Art,65,deepgazeiie,13.43342399597168,322.802816232721,8,1.1396615505218506,0.4969662685169048,0.8273701071739197,6.203821659088135,360.8772676341164,17,7.229602336883545,38.07445140139538,9
Art,67,deepgazeiie,12.65082836151123,238.2983431584372,8,2.087446689605713,0.6193805738354851,0.9069626331329346,6.125199794769287,228.27434464102447,7,6.525628566741943,10.023998517412736,1
Art,69,deepgazeiie,13.409844398498535,306.5767598702839,16,1.32029926776886,0.5213945642651027,0.8456645011901855,6.122373580932617,295.1015185223158,11,7.287470817565918,11.475241347968108,5
BlackWhite,1,deepgazeiie,12.869498252868652,215.1181643871169,4,2.0721664428710938,0.6965082196521262,0.8773906826972961,6.09363317489624,247.23660335171212,7,6.775865077972412,32.118438964595214,3
BlackWhite,3,deepgazeiie,13.221323013305664,294.66073054348743,8,1.338891863822937,0.5427195510120687,0.8205217123031616,6.169365882873535,306.41525058692946,5,7.051957130432129,11.754520043442028,3
BlackWhite,5,deepgazeiie,12.75139617919922,213.23056851759185,8,2.5960910320281982,0.7043424650573072,0.9114442467689514,5.857387542724609,230.67201776229868,3,6.894008636474611,17.44144924470683,5
BlackWhite,7,deepgazeiie,13.0982666015625,351.54585862403314,8,0.7026306390762329,0.2643294306024783,0.8382278680801392,5.918531894683838,309.1688627489009,5,7.179734706878662,42.37699587513225,3
BlackWhite,9,deepgazeiie,12.766826629638672,294.2039488068891,8,1.4702825546264648,0.4919334402737265,0.8563572764396667,6.195988178253174,353.68670061054786,8,6.570838451385498,59.48275180365874,0
BlackWhite,11,deepgazeiie,12.61561393737793,217.30015421886185,4,3.0314245223999023,0.7429384914439269,0.9147287607192992,6.058021545410156,243.78907107268344,3,6.557592391967773,26.488916853821593,1
BlackWhite,13,deepgazeiie,12.78862476348877,341.4663523387859,4,2.14029598236084,0.6820241147701844,0.8491525053977966,6.17204475402832,356.94804730934794,3,6.616580009460449,15.481694970562046,1
BlackWhite,15,deepgazeiie,12.80955696105957,320.0407449960449,8,2.003542900085449,0.5958179007408243,0.8865293860435486,6.158498764038086,361.45751379374366,6,6.651058197021484,41.41676879769875,2
BlackWhite,17,deepgazeiie,12.81806182861328,280.3215723224868,12,2.520514726638794,0.6180253820347001,0.9025378227233888,6.188072681427002,248.95042369621825,2,6.6299891471862775,31.371148626268564,10
BlackWhite,19,deepgazeiie,12.850598335266112,257.5061186949752,12,2.3941123485565186,0.7202300964306785,0.889553427696228,6.139222145080566,294.5512093688377,5,6.711376190185545,37.04509067386249,7
BlackWhite,21,deepgazeiie,12.789032936096191,335.8046578749317,4,3.1294758319854736,0.7267289371274889,0.870621919631958,6.247143745422363,341.8594899932019,3,6.541889190673828,6.0548321182702125,1
BlackWhite,23,deepgazeiie,12.791118621826172,278.3204732095235,4,1.4433598518371582,0.4763989406692696,0.8471710085868835,6.209022521972656,334.192241100925,5,6.582096099853516,55.871767891401475,1
BlackWhite,25,deepgazeiie,12.43124294281006,237.0714343736269,8,2.2336902618408203,0.6562354082415719,0.8881672024726868,6.206441402435303,288.06119192569633,4,6.224801540374758,50.98975755206945,4
BlackWhite,27,deepgazeiie,12.414140701293944,227.94673367842356,4,2.8599252700805664,0.7498161710656162,0.9201260805130004,6.17205286026001,233.91033691474425,3,6.242087841033934,5.963603236320694,1
BlackWhite,29,deepgazeiie,12.81396484375,196.5586900174092,8,3.0400171279907227,0.746248185955341,0.906086564064026,6.185414791107178,187.88119767473148,3,6.628550052642822,8.67749234267771,5
