model_name,category,image,threshold_ratio,neighborhood,model_num_peaks
deepgazeiie,Indoor,003,0.7,25,4
deepgazeiie,Indoor,005,0.7,25,4
deepgazeiie,Indoor,007,0.7,25,16
deepgazeiie,Indoor,009,0.7,25,8
deepgazeiie,Indoor,011,0.7,25,8
deepgazeiie,Indoor,013,0.7,25,8
deepgazeiie,Indoor,015,0.7,25,8
deepgazeiie,Indoor,017,0.7,25,8
deepgazeiie,Indoor,019,0.7,25,4
deepgazeiie,Indoor,021,0.7,25,16
deepgazeiie,Indoor,023,0.7,25,8
deepgazeiie,Indoor,025,0.7,25,4
deepgazeiie,Indoor,027,0.7,25,20
deepgazeiie,Indoor,029,0.7,25,4
deepgazeiie,Indoor,031,0.7,25,12
deepgazeiie,Indoor,033,0.7,25,4
deepgazeiie,Indoor,035,0.7,25,4
deepgazeiie,Indoor,037,0.7,25,4
deepgazeiie,Indoor,039,0.7,25,8
deepgazeiie,Indoor,041,0.7,25,4
deepgazeiie,Indoor,043,0.7,25,8
deepgazeiie,Indoor,045,0.7,25,8
deepgazeiie,Indoor,047,0.7,25,8
deepgazeiie,Indoor,049,0.7,25,4
deepgazeiie,Indoor,051,0.7,25,24
deepgazeiie,Indoor,053,0.7,25,4
deepgazeiie,Indoor,055,0.7,25,4
deepgazeiie,Indoor,057,0.7,25,4
deepgazeiie,Indoor,059,0.7,25,4
deepgazeiie,Indoor,061,0.7,25,4
deepgazeiie,Indoor,063,0.7,25,12
deepgazeiie,Indoor,065,0.7,25,4
deepgazeiie,Indoor,067,0.7,25,4
deepgazeiie,Indoor,069,0.7,25,12
deepgazeiie,Inverted,001,0.7,25,4
deepgazeiie,Inverted,003,0.7,25,8
deepgazeiie,Inverted,005,0.7,25,4
deepgazeiie,Inverted,007,0.7,25,4
deepgazeiie,Inverted,009,0.7,25,4
deepgazeiie,Inverted,011,0.7,25,4
deepgazeiie,Inverted,013,0.7,25,16
deepgazeiie,Inverted,015,0.7,25,4
deepgazeiie,Inverted,017,0.7,25,4
deepgazeiie,Inverted,019,0.7,25,4
deepgazeiie,Inverted,021,0.7,25,4
deepgazeiie,Inverted,023,0.7,25,8
deepgazeiie,Inverted,025,0.7,25,12
deepgazeiie,Inverted,027,0.7,25,16
deepgazeiie,Inverted,029,0.7,25,8
deepgazeiie,Inverted,031,0.7,25,8
deepgazeiie,Inverted,033,0.7,25,12
deepgazeiie,Inverted,035,0.7,25,24
deepgazeiie,Inverted,037,0.7,25,4
deepgazeiie,Inverted,039,0.7,25,8
deepgazeiie,Inverted,041,0.7,25,4
deepgazeiie,Inverted,043,0.7,25,4
deepgazeiie,Inverted,045,0.7,25,12
deepgazeiie,Inverted,047,0.7,25,4
deepgazeiie,Inverted,049,0.7,25,4
deepgazeiie,Inverted,051,0.7,25,4
deepgazeiie,Inverted,053,0.7,25,8
deepgazeiie,Inverted,055,0.7,25,4
deepgazeiie,Inverted,057,0.7,25,8
deepgazeiie,Inverted,059,0.7,25,12
deepgazeiie,Inverted,061,0.7,25,4
deepgazeiie,Inverted,063,0.7,25,24
deepgazeiie,Inverted,065,0.7,25,4
deepgazeiie,Inverted,067,0.7,25,4
deepgazeiie,Inverted,069,0.7,25,12
deepgazeiie,Jumbled,001,0.7,25,8
deepgazeiie,Jumbled,003,0.7,25,4
deepgazeiie,Jumbled,005,0.7,25,4
deepgazeiie,Jumbled,007,0.7,25,16
deepgazeiie,Jumbled,009,0.7,25,8
deepgazeiie,Jumbled,011,0.7,25,4
deepgazeiie,Jumbled,013,0.7,25,12
deepgazeiie,Jumbled,015,0.7,25,12
deepgazeiie,Jumbled,017,0.7,25,4
deepgazeiie,Jumbled,019,0.7,25,16
deepgazeiie,Jumbled,021,0.7,25,8
deepgazeiie,Jumbled,023,0.7,25,8
deepgazeiie,Jumbled,025,0.7,25,12
deepgazeiie,Jumbled,027,0.7,25,4
deepgazeiie,Jumbled,029,0.7,25,12
deepgazeiie,Jumbled,031,0.7,25,4
deepgazeiie,Jumbled,033,0.7,25,4
deepgazeiie,Jumbled,035,0.7,25,16
deepgazeiie,Jumbled,037,0.7,25,8
deepgazeiie,Jumbled,039,0.7,25,8
deepgazeiie,Jumbled,041,0.7,25,4
deepgazeiie,Jumbled,043,0.7,25,4
deepgazeiie,Jumbled,045,0.7,25,4
deepgazeiie,Jumbled,047,0.7,25,4
deepgazeiie,Jumbled,049,0.7,25,8
deepgazeiie,Jumbled,051,0.7,25,4
deepgazeiie,Jumbled,053,0.7,25,4
deepgazeiie,Jumbled,055,0.7,25,12
deepgazeiie,Jumbled,057,0.7,25,12
deepgazeiie,Jumbled,059,0.7,25,4
deepgazeiie,Jumbled,061,0.7,25,12
deepgazeiie,Jumbled,063,0.7,25,16
deepgazeiie,Jumbled,065,0.7,25,8
deepgazeiie,Jumbled,067,0.7,25,16
deepgazeiie,Jumbled,069,0.7,25,4
deepgazeiie,LineDrawing,001,0.7,25,8
deepgazeiie,LineDrawing,003,0.7,25,8
deepgazeiie,LineDrawing,005,0.7,25,4
deepgazeiie,LineDrawing,007,0.7,25,4
deepgazeiie,LineDrawing,009,0.7,25,8
deepgazeiie,LineDrawing,011,0.7,25,8
deepgazeiie,LineDrawing,013,0.7,25,8
deepgazeiie,LineDrawing,015,0.7,25,12
deepgazeiie,LineDrawing,017,0.7,25,12
deepgazeiie,LineDrawing,019,0.7,25,4
deepgazeiie,LineDrawing,021,0.7,25,8
deepgazeiie,LineDrawing,023,0.7,25,24
deepgazeiie,LineDrawing,025,0.7,25,4
deepgazeiie,LineDrawing,027,0.7,25,4
deepgazeiie,LineDrawing,029,0.7,25,4
deepgazeiie,LineDrawing,031,0.7,25,12
deepgazeiie,LineDrawing,033,0.7,25,12
deepgazeiie,LineDrawing,035,0.7,25,4
deepgazeiie,LineDrawing,037,0.7,25,8
deepgazeiie,LineDrawing,039,0.7,25,8
deepgazeiie,LineDrawing,041,0.7,25,16
deepgazeiie,LineDrawing,043,0.7,25,4
deepgazeiie,LineDrawing,045,0.7,25,4
deepgazeiie,LineDrawing,047,0.7,25,4
deepgazeiie,LineDrawing,049,0.7,25,8
deepgazeiie,LineDrawing,051,0.7,25,4
deepgazeiie,LineDrawing,053,0.7,25,4
deepgazeiie,LineDrawing,055,0.7,25,4
deepgazeiie,LineDrawing,057,0.7,25,4
deepgazeiie,LineDrawing,059,0.7,25,8
deepgazeiie,LineDrawing,061,0.7,25,8
deepgazeiie,LineDrawing,063,0.7,25,8
deepgazeiie,LineDrawing,065,0.7,25,8
deepgazeiie,LineDrawing,067,0.7,25,4
deepgazeiie,LineDrawing,069,0.7,25,12
deepgazeiie,LowResolution,001,0.7,25,4
deepgazeiie,LowResolution,003,0.7,25,4
deepgazeiie,LowResolution,005,0.7,25,12
deepgazeiie,LowResolution,007,0.7,25,4
deepgazeiie,LowResolution,009,0.7,25,8
deepgazeiie,LowResolution,011,0.7,25,4
deepgazeiie,LowResolution,013,0.7,25,12
deepgazeiie,LowResolution,015,0.7,25,12
deepgazeiie,LowResolution,017,0.7,25,4
deepgazeiie,LowResolution,019,0.7,25,8
