category,image,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Action,065,13.940028190612793,435.5690039677981,6,2.064467430114746,0.40703355293054544,0.8767772316932678
Action,067,14.185883522033691,466.93972094171767,20,0.4777994453907013,0.13693064005003985,0.6320267915725708
Action,069,14.391915321350098,541.2871691762673,15,1.1529616117477417,0.29877386267437966,0.8152897357940674
Action,071,14.329681396484375,504.866543870815,18,0.9039991497993469,0.3432796448603851,0.7737389206886292
Action,073,14.262496948242188,485.61319701053617,6,0.9989683628082275,0.2524286602880845,0.7769522070884705
Action,075,13.81838321685791,423.40976467394523,5,1.0821011066436768,0.26626806512137957,0.825583815574646
Action,077,13.893980026245117,427.215052623893,3,1.0325803756713867,0.42364805438057346,0.7971137166023254
Action,079,13.837486267089844,433.0789643754354,6,1.334101676940918,0.36274816951637534,0.8460458517074585
Action,081,13.93017292022705,411.34669621405925,10,0.9723808169364929,0.33653363899937677,0.7878421545028687
Action,083,13.745400428771973,435.52815738550277,10,1.4069172143936157,0.4874196754794054,0.8357315063476562
Action,085,13.891277313232422,376.6627109142404,9,1.3152484893798828,0.4236944431091903,0.842798113822937
Action,087,13.59106159210205,303.17980762338937,12,1.8255568742752075,0.4871319364002052,0.9050332307815552
Action,089,14.153873443603516,456.74320742032967,9,0.7827054858207703,0.27740774437520827,0.7447179555892944
Action,091,14.089681625366211,402.5175413406538,4,1.5624221563339233,0.45196912077076784,0.8212915658950806
Action,093,14.028610229492188,448.10847779212145,4,0.28797709941864014,0.10868025532440526,0.6308017373085022
Action,095,14.030454635620117,413.18336834879295,11,1.0694624185562134,0.37721260300032705,0.7952865362167358
Action,097,14.007807731628418,407.2807258199435,8,1.4712672233581543,0.40491055886598254,0.861021876335144
Action,099,14.295626640319824,492.32188840567454,11,0.6507115960121155,0.22057773124878755,0.6974722146987915
Affective,001,14.261162757873535,468.4711275252703,22,0.7713954448699951,0.35917374691361514,0.7418109774589539
Affective,003,14.171263694763184,480.9516708819062,7,0.6509702205657959,0.26211275657404154,0.6932536363601685
Affective,005,14.13869571685791,502.483719455878,10,0.982832670211792,0.31652408454152153,0.743713915348053
Affective,007,13.794034004211426,345.0000744475778,12,1.1454896926879883,0.320889421074729,0.8047672510147095
Affective,009,14.337966918945312,497.7042952456222,21,0.5956899523735046,0.21682286599393338,0.6725137233734131
Affective,011,14.215469360351562,468.823797357674,6,1.7515760660171509,0.45929138798862035,0.8546934127807617
Affective,013,14.260038375854492,486.2197187131973,23,0.8552112579345703,0.3184656812913008,0.762614905834198
Affective,015,14.162012100219727,490.13786343945105,15,0.4450013041496277,0.13906762369621817,0.6614184379577637
Affective,017,14.271937370300293,480.7224605478098,14,1.1907193660736084,0.4385978051220942,0.851340115070343
Affective,019,14.348153114318848,504.76304737628715,21,0.7516862154006958,0.26052428947505224,0.758020281791687
Affective,021,14.174051284790039,449.43890138539484,16,0.6467260122299194,0.2627021924470795,0.6878139972686768
