category,image,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc
Affective,063,12.563445091247559,189.5418345799141,90,3.8285460472106934,0.8800832732480344,0.9314919114112854
Affective,065,12.536784172058105,177.55948400488498,74,4.289216041564941,0.9100630945549294,0.9485419392585754
Affective,067,13.137775421142578,233.11239733585504,55,3.6176304817199707,0.8924281654289763,0.8879837989807129
Affective,069,12.535721778869629,162.76521113774092,142,3.852440595626831,0.8890117262631761,0.9497159123420715
Affective,071,12.445089340209961,154.99613405402812,79,3.661661386489868,0.875665583504283,0.8817115426063538
Affective,073,13.167989730834961,276.0469867673557,34,2.7839863300323486,0.8683676910264125,0.8980828523635864
Affective,075,13.173789978027344,295.04749735672954,72,2.626572608947754,0.8371852485054125,0.8957309722900391
Affective,077,13.378267288208008,350.68066049154,23,2.1958189010620117,0.7744730701859969,0.889922559261322
Affective,079,12.596010208129883,183.84371468734096,75,3.543111562728882,0.8625316998177002,0.9368958473205566
Affective,081,12.613086700439453,174.1001276128153,66,4.556163787841797,0.9153542051482861,0.9485303163528442
Affective,083,12.667698860168457,247.69842415425646,31,4.269423484802246,0.8718995108922907,0.9419164657592773
Affective,085,12.519113540649414,172.08371949689288,1,4.287088871002197,0.9083349189250737,0.936076819896698
Affective,087,13.264124870300293,331.8404347956955,35,3.1883084774017334,0.858255441881257,0.9111470580101013
Affective,089,13.227526664733887,298.549923414548,478,2.13358473777771,0.7800913597110869,0.893339216709137
Affective,091,12.935417175292969,206.45455956678853,31,3.011518716812134,0.8905023531858424,0.9052843451499939
Affective,093,12.470874786376953,159.697915597433,131,3.303828477859497,0.8907008065659061,0.8951846361160278
Affective,095,12.446781158447266,161.81852178054865,48,3.800894021987915,0.8962329091464913,0.9224124550819397
Affective,097,12.698646545410156,221.1269249640078,91,2.9951987266540527,0.862525840798653,0.9267984628677368
Affective,099,13.561823844909668,407.2348111701114,144,2.1254348754882812,0.7285280952875969,0.8443403840065002
Art,001,12.913169860839844,204.73421252143794,50,1.8268978595733643,0.7153123136532795,0.8558245301246643
Art,003,13.007155418395996,210.57646233191707,125,2.4032914638519287,0.7634962727184007,0.8753698468208313
Art,005,13.165121078491211,227.180203513736,154,3.058713912963867,0.837962311944927,0.894890546798706
Art,007,13.201083183288574,234.84103427625627,106,1.7984000444412231,0.6025730558688621,0.8724930286407471
Art,009,13.543625831604004,273.2945385498087,150,1.8861703872680664,0.7288525340308724,0.8354993462562561
Art,011,13.765318870544434,318.5202401758707,229,1.8822662830352783,0.7812795030516824,0.777808427810669
Art,013,13.576438903808594,307.31135724736845,78,1.7278932332992554,0.7131407501278254,0.8277797698974609
Art,015,13.558625221252441,296.7131294211702,90,1.7211318016052246,0.6674190603055248,0.8357921242713928
Art,017,13.512676239013672,328.2898571270464,1,1.789862036705017,0.7252285996925607,0.8650990724563599
Art,019,13.43786907196045,261.9458242041176,2,1.9020007848739624,0.7603198111495424,0.8409711122512817
Art,021,13.57577133178711,281.5219479571388,18,2.1929335594177246,0.7804979093134199,0.8520575761795044
Art,023,12.983024597167969,222.14142810357586,38,3.018671751022339,0.8356959478733467,0.9025030732154846
Art,025,13.57866382598877,291.8290286987035,62,1.6622077226638794,0.6634511236313081,0.8328883647918701
Art,027,12.8732271194458,205.19267441431455,125,2.9493985176086426,0.8798836746985745,0.9033231139183044
Art,029,13.382925987243652,262.62099171763475,92,2.590764284133911,0.8317144926031061,0.8731073141098022
Art,031,13.173844337463379,225.392416551468,159,2.725531578063965,0.8065666271808218,0.8845006227493286
Art,033,12.423054695129395,150.58775101613583,3,4.151760101318359,0.8930985117277122,0.8970252871513367
Art,035,13.541476249694824,297.09286278843433,122,1.9588841199874878,0.6955391946911751,0.7927156686782837
Art,037,13.490459442138672,276.9652342584943,72,2.0239152908325195,0.8002789277754088,0.8806884288787842
Art,039,13.124994277954102,211.2968540456333,123,2.4597368240356445,0.799740759446931,0.9137979745864868
Art,041,13.391509056091309,273.19405639324725,3,2.475511312484741,0.8110920013288344,0.890478789806366
Art,043,13.545952796936035,281.3183899928196,53,1.9512884616851807,0.7317091093998117,0.8272162675857544
Art,045,13.741544723510742,315.16079637825555,241,1.6922883987426758,0.7093023487403501,0.8366745114326477
Art,047,13.64915943145752,282.7662102395497,187,1.965660572052002,0.7622336289254229,0.7842453122138977
Art,049,13.007493019104004,205.02558761067786,50,2.6958863735198975,0.8391708871154413,0.856530487537384
Art,051,12.731112480163574,209.1985599160372,135,2.8570995330810547,0.8594432032778724,0.9265732765197754
Art,053,13.028383255004883,325.7410629816218,3,2.858069658279419,0.8441382009502177,0.9062328934669495
Art,055,13.345720291137695,284.35463047328767,41,2.1592679023742676,0.7677857279499191,0.8435482978820801
Art,057,13.608699798583984,305.19519775755026,89,1.5293432474136353,0.6968935129999168,0.8256502747535706
Art,059,13.657015800476074,331.3881041250935,100,1.5651484727859497,0.679674954370687,0.8085901141166687
Art,061,13.527966499328613,298.1128166385951,73,1.965842366218567,0.7380171707682118,0.8842809200286865
Art,063,12.983186721801758,256.09185122275875,41,3.894692897796631,0.8654963509204381,0.9072104692459106
Art,065,13.698412895202637,339.5930913962228,81,1.609962821006775,0.7012745282109036,0.8442172408103943
Art,067,13.04273509979248,228.96322946846843,107,2.627417802810669,0.7907720562036639,0.9159324765205383
Art,069,13.427132606506348,291.5163451732621,2,1.9932730197906494,0.7763690192338261,0.8612112402915955
Art,071,13.266838073730469,240.44414759437115,59,2.1417617797851562,0.8148867239508603,0.9067957997322083
Art,073,13.527414321899414,310.74562305574506,1,2.1944971084594727,0.7347989554782082,0.8720571398735046
Art,075,13.363675117492676,283.01064163240443,40,1.8705660104751587,0.7552362184599057,0.8670830130577087
Art,077,12.681476593017578,168.51105656748604,1,3.2379889488220215,0.8638623772989406,0.9297821521759033
Art,079,13.23490047454834,248.10020738265615,105,2.4023611545562744,0.7727279045389168,0.9172132015228271
