model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Cartoon,023,0.5,35,8,5,3
deepgazeiie,Cartoon,025,0.5,35,20,4,16
deepgazeiie,Cartoon,027,0.5,35,4,3,1
deepgazeiie,Cartoon,029,0.5,35,4,4,0
deepgazeiie,Cartoon,031,0.5,35,12,2,10
deepgazeiie,Cartoon,033,0.5,35,16,5,11
deepgazeiie,Cartoon,035,0.5,35,24,9,15
deepgazeiie,Cartoon,037,0.5,35,4,3,1
deepgazeiie,Cartoon,039,0.5,35,12,3,9
deepgazeiie,Cartoon,041,0.5,35,4,4,0
deepgazeiie,Cartoon,043,0.5,35,12,6,6
deepgazeiie,Cartoon,045,0.5,35,4,2,2
deepgazeiie,Cartoon,047,0.5,35,8,4,4
deepgazeiie,Cartoon,049,0.5,35,12,3,9
deepgazeiie,Cartoon,051,0.5,35,4,7,3
deepgazeiie,Cartoon,053,0.5,35,4,1,3
deepgazeiie,Cartoon,055,0.5,35,12,11,1
deepgazeiie,Cartoon,057,0.5,35,4,5,1
deepgazeiie,Cartoon,059,0.5,35,12,8,4
deepgazeiie,Cartoon,061,0.5,35,24,1,23
deepgazeiie,Cartoon,063,0.5,35,8,1,7
deepgazeiie,Cartoon,065,0.5,35,12,2,10
deepgazeiie,Cartoon,067,0.5,35,20,4,16
deepgazeiie,Cartoon,069,0.5,35,12,3,9
deepgazeiie,Fractal,001,0.5,35,32,1,31
deepgazeiie,Fractal,003,0.5,35,8,4,4
deepgazeiie,Fractal,005,0.5,35,4,2,2
deepgazeiie,Fractal,007,0.5,35,8,3,5
deepgazeiie,Fractal,009,0.5,35,4,2,2
deepgazeiie,Fractal,011,0.5,35,8,3,5
deepgazeiie,Fractal,013,0.5,35,12,3,9
deepgazeiie,Fractal,015,0.5,35,16,1,15
deepgazeiie,Fractal,017,0.5,35,4,2,2
deepgazeiie,Fractal,019,0.5,35,4,1,3
deepgazeiie,Fractal,021,0.5,35,12,1,11
deepgazeiie,Fractal,023,0.5,35,4,2,2
deepgazeiie,Fractal,025,0.5,35,16,3,13
deepgazeiie,Fractal,027,0.5,35,20,5,15
deepgazeiie,Fractal,029,0.5,35,24,2,22
deepgazeiie,Fractal,031,0.5,35,16,6,10
deepgazeiie,Fractal,033,0.5,35,16,1,15
deepgazeiie,Fractal,035,0.5,35,8,3,5
deepgazeiie,Fractal,037,0.5,35,32,6,26
deepgazeiie,Fractal,039,0.5,35,8,2,6
deepgazeiie,Fractal,041,0.5,35,12,3,9
deepgazeiie,Fractal,043,0.5,35,20,8,12
deepgazeiie,Fractal,045,0.5,35,8,1,7
deepgazeiie,Fractal,047,0.5,35,4,3,1
deepgazeiie,Fractal,049,0.5,35,4,2,2
deepgazeiie,Fractal,051,0.5,35,12,3,9
deepgazeiie,Fractal,053,0.5,35,24,2,22
deepgazeiie,Fractal,055,0.5,35,8,1,7
deepgazeiie,Fractal,057,0.5,35,12,4,8
deepgazeiie,Fractal,059,0.5,35,12,3,9
deepgazeiie,Fractal,061,0.5,35,8,3,5
deepgazeiie,Fractal,063,0.5,35,4,2,2
deepgazeiie,Fractal,065,0.5,35,8,5,3
deepgazeiie,Fractal,067,0.5,35,18,1,17
deepgazeiie,Fractal,069,0.5,35,12,5,7
deepgazeiie,Indoor,001,0.5,35,32,7,25
deepgazeiie,Indoor,003,0.5,35,4,5,1
deepgazeiie,Indoor,005,0.5,35,8,11,3
deepgazeiie,Indoor,007,0.5,35,40,5,35
deepgazeiie,Indoor,009,0.5,35,12,12,0
deepgazeiie,Indoor,011,0.5,35,16,1,15
deepgazeiie,Indoor,013,0.5,35,16,2,14
deepgazeiie,Indoor,015,0.5,35,8,3,5
deepgazeiie,Indoor,017,0.5,35,12,4,8
deepgazeiie,Indoor,019,0.5,35,4,2,2
deepgazeiie,Indoor,021,0.5,35,16,1,15
deepgazeiie,Indoor,023,0.5,35,8,2,6
deepgazeiie,Indoor,025,0.5,35,4,6,2
deepgazeiie,Indoor,027,0.5,35,24,3,21
deepgazeiie,Indoor,029,0.5,35,12,2,10
deepgazeiie,Indoor,031,0.5,35,16,4,12
deepgazeiie,Indoor,033,0.5,35,12,2,10
deepgazeiie,Indoor,035,0.5,35,12,3,9
deepgazeiie,Indoor,037,0.5,35,4,3,1
deepgazeiie,Indoor,039,0.5,35,20,5,15
deepgazeiie,Indoor,041,0.5,35,20,2,18
deepgazeiie,Indoor,043,0.5,35,12,2,10
deepgazeiie,Indoor,045,0.5,35,8,2,6
deepgazeiie,Indoor,047,0.5,35,8,5,3
deepgazeiie,Indoor,049,0.5,35,8,2,6
deepgazeiie,Indoor,051,0.5,35,40,9,31
deepgazeiie,Indoor,053,0.5,35,8,3,5
deepgazeiie,Indoor,055,0.5,35,8,5,3
deepgazeiie,Indoor,057,0.5,35,4,1,3
deepgazeiie,Indoor,059,0.5,35,8,8,0
deepgazeiie,Indoor,061,0.5,35,4,4,0
deepgazeiie,Indoor,063,0.5,35,16,4,12
deepgazeiie,Indoor,065,0.5,35,4,2,2
deepgazeiie,Indoor,067,0.5,35,4,1,3
deepgazeiie,Indoor,069,0.5,35,12,3,9
deepgazeiie,Inverted,001,0.5,35,4,10,6
deepgazeiie,Inverted,003,0.5,35,8,8,0
deepgazeiie,Inverted,005,0.5,35,4,2,2
deepgazeiie,Inverted,007,0.5,35,12,3,9
deepgazeiie,Inverted,009,0.5,35,4,1,3
deepgazeiie,Inverted,011,0.5,35,8,14,6
deepgazeiie,Inverted,013,0.5,35,16,5,11
deepgazeiie,Inverted,015,0.5,35,12,2,10
deepgazeiie,Inverted,017,0.5,35,12,5,7
deepgazeiie,Inverted,019,0.5,35,8,5,3
deepgazeiie,Inverted,021,0.5,35,4,2,2
